make,model,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,registrationcity,registrationstate,Selling_Price
Maruti,Swift Dzire,2015.0,Petrol,46303.0,1,Manual,Sedan,New Delhi,Delhi,409000.0
Hyundai,Elite I20,2014.0,Petrol,71895.0,3,Manual,Hatchback,Mumbai,Maharashtra,489000.0
Hyundai,Elite I20,2017.0,Petrol,84581.0,1,Manual,Hatchback,Delhi,Delhi,555000.0
Maruti,Swift,2013.0,Petrol,51595.0,2,Manual,Hatchback,Faridabad,Haryana,355000.0
Hyundai,Elite I20,2015.0,Petrol,86383.0,1,Manual,Hatchback,Chennai,Tamil Nadu,549000.0
Hyundai,Elite I20,2019.0,Petrol,35503.0,1,Manual,Hatchback,Gurgaon,Haryana,711000.0
Hyundai,Elite I20,2018.0,Petrol,37564.0,1,Manual,Hatchback,Amreli,Gujarat,629000.0
Hyundai,Verna,2013.0,Petrol,85267.0,2,Manual,Sedan,Pune,Maharashtra,415900.0
Honda,Amaze,2015.0,Petrol,81394.0,1,Manual,Sedan,Patna,Bihar,383401.0
Volkswagen,Polo,2016.0,Diesel,70226.0,1,Manual,Hatchback,Chennai,Tamil Nadu,595000.0
Maruti,Ertiga,2013.0,Petrol,93736.0,2,Manual,SUV,Chennai,Tamil Nadu,556000.0
Maruti,Dzire,2017.0,Diesel,69564.0,1,Automatic,Sedan,Hyderabad,Telangana,725000.0
Ford,Ecosport,2019.0,Diesel,77788.0,1,Manual,SUV,Bardoli,Gujarat,756500.0
Toyota,Etios,2016.0,Petrol,48638.0,1,Manual,Sedan,Bengaluru,Karnataka,566300.0
Honda,Amaze,2014.0,Petrol,68492.0,1,Manual,Sedan,Delhi,Delhi,360000.0
Hyundai,New Santro,2020.0,Petrol + Cng,27433.0,1,Manual,Hatchback,New Delhi,Delhi,579599.0
Maruti,Ciaz,2019.0,Petrol,30411.0,1,Manual,Sedan,Ulhasnagar,Maharashtra,791000.0
Hyundai,I20,2014.0,Petrol,49366.0,1,Manual,Hatchback,Gurgaon,Haryana,336899.0
